consensus_index,share_negative,reaction_score,reaction_composition,totalReactions
0.9908148092378927,0.004592595381053662,0.9776209677419355,Mixed,59447
0.9990460704607046,0.00047696476964769645,0.9998490110221954,Mixed,47187
0.07639706045602895,0.5381985302280144,0.6299490950226244,Mixed,46463
0.9903519842939279,0.00482400785303604,0.991371116536519,Mixed,40810
0.9915973951925097,0.004201302403745161,0.9911589776563253,Mixed,39516
0.9562039235286768,0.021898038235661627,0.7116394399066511,Mixed,36786
0.995149077141505,0.0024254614292475154,1.0,Mixed,34341
0.15314766286793832,0.4234261685660308,0.6907099307636664,Mixed,33792
0.5978239169494909,0.20108804152525453,0.7670139866704215,Mixed,33425
0.7201080130620447,0.13994599346897765,0.8532044028392141,Mixed,32555
0.9830824372759857,0.00845878136200717,0.9956499299564993,Mixed,30690
0.9912571291964072,0.004371435401796387,0.9775453247832293,Mixed,30481
0.9367866549604916,0.03160667251975417,0.9962654633159573,Mixed,30215
0.9979114452798663,0.0010442773600668337,0.9948503379465723,Mixed,29511
0.9953298307063632,0.002335084646818447,0.9983972848119167,Mixed,28030
0.6847253096221022,0.15763734518894887,0.8253138075313807,Mixed,27963
0.9426219682742638,0.0286890158628681,0.959349593495935,Mixed,27665
0.9855088702147525,0.007245564892623716,0.9996233805363061,Mixed,27359
0.9788716565520341,0.010564171723982918,0.9946998437848694,Mixed,27128
0.7490445859872611,0.12547770700636943,0.9465674670273926,Mixed,26695
0.13314037626628075,0.5665701881331404,0.5027922385234264,Mixed,26601
0.9761748523547524,0.011912573822623795,0.9821976672805403,Mixed,26262
0.5875845860853357,0.20620770695733215,0.8528381730628921,Mixed,25794
0.8717559824738793,0.06412200876306033,0.7630813953488372,Mixed,24734
0.9145553437776022,0.04272232811119892,0.939515723902341,Mixed,23923
0.9771743995226018,0.01141280023869909,0.9812686030996612,Mixed,23616
0.7128749668170958,0.14356251659145208,0.8396676183806496,Mixed,23457
0.9082150101419878,0.045892494929006086,0.8383838383838383,Mixed,22894
0.9586215120438827,0.02068924397805867,0.9893920595533499,Mixed,21923
0.9686856595642805,0.015657170217859707,0.9986573176189766,Mixed,21910
0.9785773406689712,0.010711329665514387,0.9941501671380818,Mixed,21909
0.33136144680131835,0.33431927659934085,0.5956451239286542,Mixed,21636
0.8986408176166895,0.05067959119165525,0.9455662591083117,Mixed,21361
0.998767071320182,0.0006164643399089529,0.998533724340176,Mixed,21342
0.9503985828166519,0.024800708591674048,0.9782190254280215,Mixed,21084
0.9983527231545352,0.0008236384227324205,0.9812745324405449,Mixed,20683
0.3330030959752322,0.33349845201238393,0.7774670244529271,Mixed,20362
0.9857279795505378,0.007136010224731068,1.0,Mixed,20350
0.7535864104821586,0.12320679475892071,0.995049504950495,Mixed,20033
0.9583309352517986,0.02083453237410072,1.0,Mixed,19976
0.7950270959515461,0.10248645202422697,0.967704969267632,Mixed,19883
0.9985274783066,0.0007362608466999737,0.9813399823051556,Mixed,19861
0.8197812648597242,0.0901093675701379,0.8826558265582656,Mixed,19586
0.9326521133302369,0.03367394333488156,0.9301461052995591,Mixed,19548
0.5210604558969276,0.23946977205153616,0.8168947616800377,Mixed,19528
0.19087202837930853,0.5954360141896543,0.4612467333800752,Mixed,19340
0.9420122610890732,0.028993869455463398,0.9874909790714458,Mixed,19211
0.4986307453186293,0.25068462734068536,0.7898347365138759,Mixed,18923
0.682738669238187,0.15863066538090645,0.9714594964110744,Mixed,18478
0.04520881601615873,0.5226044080080794,0.5013079667063021,Mixed,18435
0.9425102660239243,0.02874486698803785,0.9861245835266332,Mixed,18345
0.9483301827347196,0.0258349086326402,0.9721682185613425,Mixed,18177
0.904294843215931,0.04785257839203448,0.9738746690203001,Mixed,18169
0.006023411751335379,0.5030117058756677,0.5378137292924816,Mixed,18060
0.9549736769188141,0.022513161540592963,0.9862660944206009,Mixed,17888
0.8509823003466942,0.07450884982665287,0.9013143652389052,Mixed,17816
0.13284671532846715,0.5664233576642336,0.40784752999237,Mixed,17804
0.950929788587994,0.02453510570600297,0.9837700551322555,Mixed,17618
0.5937112122465866,0.20314439387670666,0.8671775223499362,Mixed,17450
0.7906707228741127,0.10466463856294365,0.8514644351464435,Mixed,17323
0.9839209225700165,0.008039538714991763,1.0,Mixed,17249
0.8827671913835957,0.058616404308202155,0.9791666666666666,Mixed,17229
0.9722588251612456,0.01387058741937721,0.9808021940349674,Mixed,17157
0.14304842669047088,0.42847578665476455,0.977830368315108,Mixed,17089
0.9676335117639736,0.016183244118013196,0.7067448680351907,Mixed,17073
0.9466386278504304,0.02668068607478478,0.9990447076805502,Mixed,16951
0.9205025699600229,0.03974871501998858,0.8257142857142857,Mixed,16918
0.8675421530479897,0.06622892347600519,0.9637426900584796,Mixed,16781
0.02430667094978049,0.5121533354748903,0.5439488263178937,Mixed,16638
0.9763138415988157,0.011843079200592153,0.9691318327974277,Mixed,16581
0.9265671641791045,0.03671641791044776,0.9867806991957998,Mixed,16530
0.9675021607605877,0.016248919619706138,0.9883775930806136,Mixed,16136
0.9497536945812808,0.025123152709359605,0.9781494661921708,Mixed,16109
0.9443582960868375,0.027820851956581228,0.9860422706443468,Mixed,15997
0.9976961474465634,0.00115192627671829,0.9975754636925688,Mixed,15848
0.9383886255924171,0.030805687203791468,0.6456043956043956,Mixed,15779
0.9691939981410171,0.015403000929491435,0.9806185179970904,Mixed,15656
0.9838643511554765,0.008067824422261725,1.0,Mixed,15642
0.9842897665284748,0.0078551167357626,0.9732090856144437,Mixed,15604
0.9674993035565048,0.016250348221747608,0.9806883158916819,Mixed,15603
0.9963053374678367,0.0018473312660816784,0.9982758620689656,Mixed,15569
0.9412271878143411,0.02938640609282943,0.9894891551240369,Mixed,15515
0.874145828640084,0.06292708567995794,0.8459045071002264,Mixed,15369
0.9595314164004259,0.02023429179978701,0.9929906542056075,Mixed,15341
0.9486534632715079,0.025673268364246046,0.9248293445184637,Mixed,15144
0.8693162216242324,0.0653418891878838,0.9956217162872154,Mixed,15074
0.4476162448499117,0.27619187757504415,0.8333333333333334,Mixed,15048
0.9402478607258778,0.02987606963706108,0.9696289646918013,Mixed,15037
0.9398188723342098,0.03009056383289512,0.8,Mixed,14715
0.9478273402032139,0.026086329898393025,0.8945338860503229,Mixed,14565
0.9671746776084408,0.016412661195779603,0.9807023093957609,Mixed,14556
0.7888711644928216,0.10556441775358918,0.9220221039705281,Mixed,14387
0.9026913561736262,0.048654321913186895,0.8136249274240371,Mixed,14275
0.967436510043359,0.016281744978320502,0.981513828238719,Mixed,14259
0.991783852109338,0.004108073945331016,0.9953531598513011,Mixed,14181
0.9407002828440456,0.029649858577977178,0.9862471827422842,Mixed,14107
0.9702248484383393,0.014887575780830328,0.9924433249370277,Mixed,14094
0.891232470641888,0.05438376467905598,0.8650137741046832,Mixed,14041
0.9913405767502655,0.004329711624867249,0.9941894247530505,Mixed,14002
0.9114451285766026,0.04427743571169866,0.9811653914067098,Mixed,13992
0.9894647145402432,0.005267642729878379,0.9913861125723303,Mixed,13967
0.9428460718783299,0.028576964060835028,0.9891873908342343,Mixed,13888
0.9925925925925926,0.003703703703703704,0.9927257167308515,Mixed,13854
0.9706519124368534,0.01467404378157325,0.9217405164169589,Mixed,13852
0.9356526288255297,0.03217368558723516,0.935045532157086,Mixed,13731
0.9966934696024649,0.0016532651987675659,0.9945082376435347,Mixed,13587
0.36081362200477696,0.3195931889976115,0.701114333689513,Mixed,13549
0.962819089900111,0.018590455049944506,0.9790489883947828,Mixed,13538
0.945233612870101,0.02738319356494951,0.9679048367186623,Mixed,13533
0.9004126031507877,0.04979369842460615,0.824783644801204,Mixed,13522
0.5264306091626112,0.2367846954186944,0.793544404268454,Mixed,13475
0.5608348134991119,0.21958259325044405,0.7840393934656871,Mixed,13435
0.9632311071341414,0.01838444643292931,0.9837262057402111,Mixed,13423
0.9242089064153121,0.03789554679234394,0.9880285006760555,Mixed,13395
0.929499409466703,0.035250295266648496,0.9920835438773792,Mixed,13368
0.9563309866340169,0.02183450668299153,0.97583165497604,Mixed,13289
0.98794022546535,0.006029887267325002,0.9870786516853932,Mixed,13279
0.667406901264093,0.16629654936795354,0.8289835584621967,Mixed,13213
0.9299773558613482,0.035011322069325904,0.9420529801324503,Mixed,13139
0.013705066959041428,0.4931474665204793,0.8961263261781397,Mixed,13120
0.9040083289953149,0.04799583550234253,0.9983604407135362,Mixed,13056
0.5032936949268543,0.24835315253657284,0.772531328320802,Mixed,13046
0.4151578947368421,0.29242105263157897,0.7536231884057971,Mixed,12772
0.936064152579107,0.03196792371044647,0.9990999099909991,Mixed,12711
0.9339194280745822,0.033040285962708915,0.9580903790087464,Mixed,12582
0.7930214115781126,0.10348929421094369,0.836564295955373,Mixed,12577
0.4447329978899529,0.27763350105502355,0.6645722571290479,Mixed,12572
0.6549856102928728,0.17250719485356356,0.9231442437743655,Mixed,12445
0.9090127114594284,0.045493644270285766,0.8493943472409152,Mixed,12436
0.9469875316069405,0.026506234196529775,0.9874888790035588,Mixed,12416
0.6951817068191098,0.15240914659044508,0.6069078947368421,Mixed,12392
0.9584829443447038,0.020758527827648116,0.9931318681318682,Mixed,12359
0.9580044205873066,0.0209977897063467,0.854872280037843,Mixed,12356
0.3833492822966507,0.3083253588516746,0.7629046369203849,Mixed,12324
0.910958904109589,0.04452054794520548,0.9216676139212998,Mixed,12191
0.9708186447316882,0.014590677634155894,0.9910832232496698,Mixed,12156
0.9925988225399496,0.003700588730025231,0.9899706252622744,Mixed,12130
0.9349629465767061,0.03251852671164694,0.9344585091420534,Mixed,12112
0.8815905743740795,0.059204712812960233,0.8922108575924469,Mixed,12107
0.07013078205915914,0.5350653910295796,0.4654031722185306,Mixed,12093
0.9131642288465099,0.043417885576745044,0.996855110445526,Mixed,12060
0.0030354131534569982,0.5015177065767285,0.5205128205128206,Mixed,12037
