model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
A0,(Intercept),1.6453399711760919,0.035695992151029636,46.09312900492199,0,1.5753771121676494,1.7153028301845343
A0,rph_link,0.09454719940018887,0.032108030492606035,2.9446589513474386,0.0032331082772357068,0.0316166160201672,0.15747778278021052
A0,rph_user,0.0731496031709376,0.027950949928437482,2.6170703807284457,0.008868805272896758,0.01836674797751775,0.12793245836435746
A0,rph_delta,-0.15764962746686192,0.018959258505992813,-8.315178962142987,9.161391753982389e-17,-0.1948090913121925,-0.12049016362153134
A0,toxicity,-0.15071588122316412,0.02446880801121412,-6.1595105554014165,7.297011718417796e-10,-0.19867386366976894,-0.1027578987765593
A0,reaction_score,0.9677858132189611,0.03164452801147165,30.583038333456045,2.057566550489985e-205,0.9057636780087077,1.0298079484292144
A0,Economy,0.034072375218137094,0.040540025060837585,0.8404626086689729,0.40064905796544636,-0.04538461383345577,0.11352936426972995
A0,Education,0.11930013172471758,0.040978781321798836,2.911265974160519,0.0035996745235862345,0.038983196203649206,0.19961706724578596
A0,Health,-0.10625603983155701,0.047620420303307376,-2.231312515823747,0.02566043520397183,-0.19959034855469943,-0.012921731108414616
A0,Security,0.0729597066659099,0.05157756911810638,1.4145627239399556,0.15719674458900784,-0.028130471215703903,0.17404988454752368
A0,Culture,-0.10199627782298426,0.055765102129631365,-1.8290341795821348,0.06739448808663011,-0.21129386959125956,0.0073013139452910575
A0,Religion,-0.016490126186255206,0.04099221548130256,-0.4022745780543799,0.6874819617619219,-0.09683339217611345,0.06385313980360302
A0,Disinformation,-0.07655084694013019,0.047657542161000654,-1.606269301121736,0.10821475238620964,-0.16995791316739062,0.016856219287130256
A0,Election,-0.016132250199669938,0.05028715413958013,-0.32080260805557353,0.7483599828371901,-0.11469326119826126,0.08242876079892139
A0,Politics,0.10204936639059801,0.056625410781806454,1.8021832421458763,0.07151658036165368,-0.008934399351528677,0.2130331321327247
A0,Corruption,-0.0017393435435974888,0.05314630448121049,-0.03272745980320083,0.973891925860076,-0.10590418623816972,0.10242549915097474
A1,(Intercept),1.584631547771803,0.03624571337036004,43.71914360134064,0,1.5135912549719355,1.6556718405716704
A1,rph_link,0.09432004107881484,0.032218484245029204,2.927513298313123,0.0034168444849008496,0.031172972322086462,0.1574671098355432
A1,rph_user,0.07005827646704373,0.027448264861921104,2.5523754167876516,0.010699116546738307,0.016260665899562092,0.12385588703452535
A1,rph_delta,-0.15395964739751433,0.018868673155834906,-8.159537563980972,3.3630967735911624e-16,-0.19094156721900846,-0.11697772757602021
A1,toxicity,-0.15034113400263757,0.024256433146234633,-6.197990161878985,5.718871448257316e-10,-0.19788286936266103,-0.10279939864261411
A1,reaction_score,0.9601613770835309,0.031907775803182145,30.09176769343398,6.209297387751987e-199,0.8976232856825153,1.0226994684845465
A1,log_total_reactions,-0.12899414543033721,0.022621684356831578,-5.702234342748309,1.1824711030803748e-8,-0.17333183203936023,-0.0846564588213142
A1,Economy,0.036241494364872076,0.04080425595803701,0.8881792723323453,0.37444432654281473,-0.04373337772883436,0.11621636645857851
A1,Education,0.1112308026356484,0.04118752796392364,2.700594285072802,0.006921571526596793,0.03050473121412174,0.19195687405717504
A1,Health,-0.09970501780628192,0.04788924701787037,-2.081991762557385,0.03734322214663976,-0.19356621720805,-0.00584381840451384
A1,Security,0.08123666077217694,0.05197857983050061,1.5628872708158894,0.11807911220823829,-0.020639483663144303,0.18311280520749817
A1,Culture,-0.10551764512840851,0.0561611789367323,-1.8788360060474896,0.060266888984680037,-0.21559153317371327,0.004556242916896255
A1,Religion,-0.013163807482842045,0.041276203978804,-0.3189200123538946,0.749787168451099,-0.09406368069982675,0.06773606573414266
A1,Disinformation,-0.08337648072758082,0.04797335296125785,-1.7379748460549278,0.08221524609587945,-0.17740252474927415,0.010649563294112499
A1,Election,-0.02364525369205477,0.05064820371402834,-0.4668527599825934,0.6406052253758463,-0.1229139088531981,0.07562340146908857
A1,Politics,0.09870424101832823,0.05686097163273491,1.7358873438860498,0.08258375603936288,-0.012741215507785841,0.2101496975444423
A1,Corruption,0.007958013061551791,0.05351455848153454,0.14870744125260313,0.8817844892605428,-0.09692859421081837,0.11284462033392195
A2,(Intercept),1.5792439385303778,0.03785718513062361,41.715831039241436,0,1.5050452191182904,1.6534426579424653
A2,rph_link,0.0979085398452505,0.03201895783452944,3.0578303126301423,0.00222945781884229,0.035152535667066206,0.16066454402343477
A2,rph_user,0.06880812145355492,0.02767708859801433,2.48610402824275,0.0129150206412549,0.014562024604522661,0.12305421830258717
A2,rph_delta,-0.16079225897535698,0.01889156511553703,-8.51132545090805,1.7195624082513355e-17,-0.19781904621340282,-0.12376547173731114
A2,toxicity,-0.1511576085524363,0.024177431218862993,-6.252012762815953,4.051962721500255e-10,-0.1985445029801021,-0.10377071412477049
A2,reaction_score,0.9672484106275443,0.031579376842715716,30.629116446629805,5.014513807206589e-206,0.9053539693616033,1.0291428518934853
A2,log_author_links,-0.11145481538580046,0.029259774605240405,-3.809148118517597,1.394464071394462e-4,-0.16880291980783133,-0.0541067109637696
A2,Economy,0.0349341466980841,0.04044033987970884,0.863844042903618,0.38767356965674604,-0.04432746298870407,0.11419575638487225
A2,Education,0.11886301056768034,0.04092666295956293,2.904292751283471,0.0036808380634988573,0.03864822515952755,0.19907779597583314
A2,Health,-0.10812352474711458,0.04747916241740848,-2.2772837438992086,0.022769287051368756,-0.20118097310136285,-0.015066076392866293
A2,Security,0.07273466845552362,0.05148021096820997,1.4128665576067412,0.15769496377348285,-0.028164690958691757,0.173634027869739
A2,Culture,-0.09957530066708903,0.05568345372185666,-1.7882385881535956,0.07373752307206242,-0.20871286449673088,0.00956226316255282
A2,Religion,-0.016514492092500575,0.04091449633737846,-0.403634251203365,0.6864816949343961,-0.0967054313593583,0.06367644717435714
A2,Disinformation,-0.0777484152755898,0.047551263049554024,-1.6350441668513995,0.10203978919162102,-0.17094717827210593,0.015450347720926322
A2,Election,-0.01628345147542256,0.05019182576089831,-0.3244243704740484,0.7456167716803231,-0.11465762228509294,0.0820907193342478
A2,Politics,0.10235741307310271,0.05646709043181998,1.8126914684349118,0.06987942109293033,-0.008316050485030715,0.21303087663123615
A2,Corruption,-1.3718867800282855e-4,0.05302978302451996,-0.002587011867263253,0.997935865474912,-0.10407365351403547,0.10379927615802981
A3,(Intercept),1.540708665182935,0.03697578205243348,41.66804810235343,0,1.4682374640599627,1.6131798663059072
A3,rph_link,0.09719171221940025,0.032115826114356594,3.026287160520933,0.002475770530688382,0.034245849701510386,0.16013757473729012
A3,rph_user,0.0668440342709627,0.027266920686442642,2.4514698612153203,0.014227410053074707,0.013401851756224957,0.12028621678570042
A3,rph_delta,-0.15728314535613191,0.01883037055621656,-8.352631451759045,6.675870305364823e-17,-0.19418999346185983,-0.120376297250404
A3,toxicity,-0.15281386504305755,0.024061752304366184,-6.35090342174823,2.1405407079714546e-10,-0.19997403296453892,-0.10565369712157618
A3,reaction_score,0.960573930529811,0.03180836917023666,30.198779616423327,2.4576043403472848e-200,0.898230672549193,1.0229171885104291
A3,log_total_reactions,-0.11902826808303044,0.022469421786933067,-5.297344507202695,1.1749888610625262e-7,-0.16306752553885887,-0.07498901062720201
A3,log_author_links,-0.08917824473093616,0.02805400893599799,-3.178805743392544,0.0014788316320026313,-0.14416309186745704,-0.034193397594415274
A3,Economy,0.036512395863635,0.040663430737721815,0.8979172490176519,0.36922966798618095,-0.04318646387013873,0.11621125559740873
